x,y,grad_x,grad_y,magnitude,valid
2.393,-0.801,0.000000,0.000000,0.000000,0
2.893,-0.801,0.000000,0.000000,0.000000,0
3.393,-0.801,0.000000,0.000000,0.000000,0
3.893,-0.801,0.000000,0.000000,0.000000,0
4.393,-0.801,0.000000,0.000000,0.000000,0
4.893,-0.801,0.000000,0.000000,0.000000,0
5.393,-0.801,0.000000,0.000000,0.000000,0
5.893,-0.801,0.000000,0.000000,0.000000,0
6.393,-0.801,0.000000,0.000000,0.000000,0
6.893,-0.801,0.000000,0.000000,0.000000,0
7.393,-0.801,0.000000,0.000000,0.000000,0
7.893,-0.801,0.000000,0.000000,0.000000,0
8.393,-0.801,0.000000,0.000000,0.000000,0
8.893,-0.801,0.000000,0.000000,0.000000,0
9.393,-0.801,0.000000,0.000000,0.000000,0
9.893,-0.801,0.000000,0.000000,0.000000,0
-4.607,-0.301,-8.722229,18.839122,20.760294,1
-4.107,-0.301,6.562097,11.380695,13.137022,1
-3.607,-0.301,4.800223,24.200150,24.671631,1
-3.107,-0.301,4.506015,25.226950,25.626220,1
-2.607,-0.301,3.724608,27.515691,27.766634,1
-2.107,-0.301,2.723676,30.431815,30.553457,1
-1.607,-0.301,2.364897,32.069823,32.156901,1
-1.107,-0.301,2.608713,32.942964,33.046093,1
-0.607,-0.301,4.271818,33.125903,33.400208,1
-0.107,-0.301,24.076229,20.723741,31.766936,1
0.393,-0.301,47.744181,3.866220,47.900464,1
0.893,-0.301,63.190166,-6.138952,63.487666,1
1.393,-0.301,54.945810,0.395624,54.947235,1
1.893,-0.301,52.898049,3.894140,53.041191,1
2.393,-0.301,140.563137,-194.230598,239.757212,1
2.893,-0.301,191.826783,-347.660066,397.070568,1
3.393,-0.301,116.399455,1120.123688,1126.155367,1
3.893,-0.301,0.000000,0.000000,0.000000,0
4.393,-0.301,0.000000,0.000000,0.000000,0
4.893,-0.301,0.000000,0.000000,0.000000,0
5.393,-0.301,0.000000,0.000000,0.000000,0
5.893,-0.301,0.000000,0.000000,0.000000,0
6.393,-0.301,0.000000,0.000000,0.000000,0
6.893,-0.301,0.000000,0.000000,0.000000,0
7.393,-0.301,0.000000,0.000000,0.000000,0
